n_steps,return_mean,return_std
1150000,-2.9,2.3086793
1155000,-1.88,2.196725
1160000,-2.04,2.2800002
1165000,-2.72,2.3583045
1170000,-1.7,2.2113345
1175000,-2.6,2.280351
1180000,-2.54,2.2468643
1185000,-1.92,2.2435687
1190000,-2.1,2.3853722
1195000,-1.84,2.129413
1200000,-2.04,2.2800002
1205000,-2.78,2.4272618
1210000,-1.62,2.2440143
1215000,-2.3,2.3600848
1220000,-2.06,2.257521
1225000,-1.8,2.209072
1230000,-2.08,2.296432
1235000,-2.12,2.3033886
1240000,-1.6,2.1633308
1245000,-2.16,2.3778985
1250000,-1.8,2.144761
1255000,-1.88,2.1876016
1260000,-1.96,2.2535305
1265000,-2.2,2.3323808
1270000,-2.38,2.2350838
1275000,-2.16,2.3440135
1280000,-2.3,2.3345237
1285000,-2.18,2.3553345
1290000,-2.68,2.2929456
1295000,-2.82,2.3890584
1300000,-2.06,2.3100648
1305000,-2.44,2.467063
1310000,-2.26,2.3648255
1315000,-2.1,2.2472205
1320000,-2.36,2.3644028
1325000,-3.0,2.297825
1330000,-2.1,2.3259406
1335000,-2.12,2.3718348
1340000,-2.12,2.3802521
1345000,-2.22,2.3857074
1350000,-2.22,2.3857076
1355000,-2.1,2.2203605
1360000,-1.84,2.2747307
1365000,-2.5,2.2825425
1370000,-1.78,2.23866
1375000,-2.28,2.3498085
1380000,-2.26,2.3135254
1385000,-2.56,2.3846173
1390000,-1.96,2.306166
1395000,-2.24,2.37958
1400000,-2.26,2.373268
1405000,-2.32,2.344696
1410000,-2.26,2.34785
1415000,-2.56,2.3762155
1420000,-2.34,2.294428
1425000,-2.32,2.4036639
1430000,-2.22,2.3176713
1435000,-2.36,2.3896441
1440000,-2.14,2.2979121
1445000,-2.16,2.3694725
1450000,-2.08,2.3224127
1455000,-1.98,2.3789914
1460000,-2.86,2.3580499
1465000,-2.28,2.2719154
1470000,-2.14,2.3665164
1475000,-2.62,2.3228433
1480000,-2.68,2.4284973
1485000,-2.76,2.3627105
1490000,-2.38,2.3485315
1495000,-1.86,2.2091627
1500000,-1.98,2.3107576
1505000,-2.38,2.357032
1510000,-2.7,2.4103942
1515000,-2.6,2.2715633
1520000,-2.32,2.3953288
1525000,-3.42,2.2189186
1530000,-1.94,2.2307844
1535000,-1.96,2.2535305
1540000,-2.24,2.2141364
1545000,-1.4,2.068816
1550000,-2.34,2.3117957
1555000,-2.56,2.3677838
1560000,-2.2,2.4083188
1565000,-2.46,2.3934076
1570000,-2.7,2.3173263
1575000,-2.92,2.3735206
1580000,-2.58,2.4338448
1585000,-2.62,2.3314376
1590000,-2.86,2.349553
1595000,-2.14,2.1818342
1600000,-2.78,2.3434165
1605000,-2.48,2.435077
1610000,-2.44,2.3078995
1615000,-2.52,2.401999
1620000,-2.14,2.2091627
1625000,-1.86,2.2091627
1630000,-1.9,2.2737634
1635000,-2.62,2.481048
1640000,-2.04,2.3491275
1645000,-2.04,2.3491275
1650000,-2.42,2.3245645
1655000,-2.46,2.4593494
